Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,27.250000,27.500000,26.799999,26.950001,26.431297,16207572
2023-03-01,26.950001,28.200001,26.900000,27.299999,26.774559,27761685
2023-03-02,27.450001,29.500000,27.350000,28.500000,27.951464,74972504
2023-03-03,28.799999,29.000000,27.799999,28.200001,27.657238,31886865
2023-03-06,28.450001,29.200001,28.100000,28.200001,27.657238,24034894
2023-03-08,28.200001,28.299999,27.900000,28.049999,27.510126,16951705
2023-03-09,28.100000,28.750000,27.750000,27.850000,27.313974,29457034
2023-03-10,27.700001,28.200001,27.549999,28.000000,27.461088,18602384
2023-03-13,28.150000,28.200001,27.250000,27.400000,26.872635,16451332
2023-03-14,27.600000,27.650000,26.850000,27.100000,26.578411,17256430
2023-03-15,27.400000,27.600000,26.850000,27.000000,26.480335,10378460
2023-03-16,27.000000,27.250000,26.400000,27.049999,26.529371,16145407
2023-03-17,27.250000,27.500000,26.850000,27.000000,26.480335,14474482
2023-03-20,26.950001,26.950001,26.500000,26.700001,26.186110,12817483
2023-03-21,26.900000,26.950001,26.750000,26.799999,26.284184,8231139
2023-03-22,26.950001,27.250000,26.850000,26.950001,26.431297,9524521
2023-03-23,26.900000,27.049999,26.700001,26.799999,26.284184,9750086
2023-03-24,26.900000,26.950001,26.450001,26.549999,26.038994,9405435
2023-03-27,26.600000,26.900000,25.750000,25.900000,25.401506,14682995
2023-03-28,26.000000,26.000000,25.400000,25.500000,25.009205,10179329
2023-03-29,25.500000,26.500000,25.500000,26.350000,25.842846,15458843
2023-03-31,26.500000,27.299999,26.450001,26.600000,26.088034,17209537
2023-04-03,26.850000,28.000000,26.700001,27.799999,27.264936,27498143
2023-04-05,28.000000,28.150000,27.250000,27.400000,26.872635,16069321
2023-04-06,27.350000,27.700001,27.200001,27.450001,26.921675,12059313
2023-04-10,27.600000,27.950001,27.400000,27.549999,27.019749,13598478
2023-04-11,27.600000,27.900000,27.549999,27.600000,27.068787,10351890
